"first(Company, false)",max(Rating)
Omanhene,2.75
Callebaut,2.75
Chaleur B,2.75
Solkiki,2.75
Eclat (Felchlin),2.75
Dalloway,2.75
Manifesto Cacao,2.75
Dormouse,2.75
Fearless (AMMA),2.75
Svenska Kakaobolaget,2.75
Kaoka (Cemoi),2.75
Pascha,2.75
Cemoi,2.75
Santome,2.75
Chocolate Conspiracy,2.75
Bernachon,2.75
Vanleer (Barry Callebaut),2.75
Xocolla,2.75
Durand,2.75
Heilemann,2.75
Cacao Atlanta,2.75
Ethel's Artisan (Mars),2.75
StRita Supreme,2.75
Forever Cacao,2.75
Confluence,2.75
Forteza (Cortes),2.75
Raw Cocoa,2.5
Mita,2.5
Cacao Arabuco,2.5
Pinellas,2.5
Oakland Chocolate Co.,2.5
Sibu Sura,2.5
Hachez,2.5
Whittakers,2.5
Shark's,2.5
Chocolate Alchemist-Philly,2.5
Garden Island,2.5
Desbarres,2.5
Chocolats Privilege,2.5
Indah,2.5
Lake Champlain (Callebaut),2.5
Chocovivo,2.5
Marsatta,2.5
Honest,2.5
Menakao (aka Cinagra),2.5
Green & Black's (ICAM),2.5
Loiza,2.5
La Oroquidea,2.5
Machu Picchu Trading Co.,2.25
Majani,2.0
Jacque Torres,2.0
Ki' Xocolatl,2.0
Love Bar,2.0
Cote d' Or (Kraft),1.0
